share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
022443,工银瑞信中证A500ETF联接-C,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,工银瑞信基金管理有限公司,,022443.OF,022442,False
022444,景顺长城中证A500ETF联接-A,指数型-股票,存续,2024-11-06,,2024-11-06,tushare_fund_basic,景顺长城基金管理有限公司,,022444.OF,022444,True
022445,景顺长城中证A500ETF联接-C,指数型-股票,存续,2024-11-06,,2024-11-06,tushare_fund_basic,景顺长城基金管理有限公司,,022445.OF,022444,False
022448,国泰中证A500ETF联接-A,指数型-股票,存续,2024-11-08,,2024-11-08,tushare_fund_basic,国泰基金管理有限公司,,022448.OF,022448,True
022449,国泰中证A500ETF联接-C,指数型-股票,存续,2024-11-08,,2024-11-08,tushare_fund_basic,国泰基金管理有限公司,,022449.OF,022448,False
022450,银华中证A500ETF联接-A,指数型-股票,存续,2024-11-13,,2024-11-13,tushare_fund_basic,银华基金管理股份有限公司,,022450.OF,022450,True
022451,银华中证A500ETF联接-C,指数型-股票,存续,2024-11-13,,2024-11-13,tushare_fund_basic,银华基金管理股份有限公司,,022451.OF,022450,False
022452,银华中证A500ETF联接-I,指数型-股票,存续,2024-11-13,,2024-11-13,tushare_fund_basic,银华基金管理股份有限公司,,022452.OF,022452,True
022453,嘉实中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,嘉实基金管理有限公司,,022453.OF,022453,True
022454,嘉实中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,嘉实基金管理有限公司,,022454.OF,022453,False
022455,招商中证A500ETF联接-A,指数型-股票,存续,2024-11-05,,2024-11-05,tushare_fund_basic,招商基金管理有限公司,,022455.OF,022455,True
022456,招商中证A500ETF联接-C,指数型-股票,存续,2024-11-05,,2024-11-05,tushare_fund_basic,招商基金管理有限公司,,022456.OF,022455,False
022457,博时中证A500ETF联接-A,指数型-股票,存续,2024-10-30,,2024-10-30,tushare_fund_basic,博时基金管理有限公司,,022457.OF,022457,True
022458,博时中证A500ETF联接-C,指数型-股票,存续,2024-10-30,,2024-10-30,tushare_fund_basic,博时基金管理有限公司,,022458.OF,022457,False
022459,易方达中证A500ETF联接-A,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,易方达基金管理有限公司,,022459.OF,022459,True
022460,易方达中证A500ETF联接-C,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,易方达基金管理有限公司,,022460.OF,022459,False
022461,华商中证A500指数增强-A,指数型-股票,存续,2024-11-01,,2024-11-01,tushare_fund_basic,华商基金管理有限公司,,022461.OF,022461,True
022462,华商中证A500指数增强-C,指数型-股票,存续,2024-11-01,,2024-11-01,tushare_fund_basic,华商基金管理有限公司,,022462.OF,022461,False
022463,富国中证A500ETF联接-A,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,富国基金管理有限公司,,022463.OF,022463,True
022464,富国中证A500ETF联接-C,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,富国基金管理有限公司,,022464.OF,022463,False
