date,close,pe
2024-04-01,5811.64,16.03
2024-04-02,5908.32,16.21
2024-04-03,5855.57,16.09
2024-04-04,5838.81,16.04
2024-04-05,5849.88,16.05
2024-04-08,5824.09,15.96
2024-04-09,5861.87,16.1
2024-04-10,6010.15,16.45
2024-04-11,6016.6,16.46
2024-04-12,5865.3,16.05
2024-04-15,5790.66,15.82
2024-04-16,5684.83,15.57
2024-04-17,5663.03,15.54
2024-04-18,5690.1,15.64
2024-04-19,5627.91,15.51
2024-04-22,5865.01,16.21
2024-04-23,6068.46,16.69
2024-04-24,6253.02,17.14
2024-04-25,6216.82,17.01
2024-04-26,6419.45,17.53
2024-04-29,6364.04,17.43
2024-04-30,6324.55,17.35
2024-05-01,6317.99,17.33
2024-05-02,6602.24,18.07
2024-05-03,6765.92,18.52
2024-05-06,6814.19,18.66
2024-05-07,6683.73,18.36
2024-05-08,6620.42,18.25
2024-05-09,6715.39,18.45
2024-05-10,6751.52,18.55
2024-05-13,6920.93,19.0
2024-05-14,6978.08,19.16
2024-05-15,6997.01,19.23
2024-05-16,7087.21,19.5
2024-05-17,7222.87,19.86
2024-05-20,7209.31,19.85
2024-05-21,7057.32,19.41
2024-05-22,7014.11,19.31
2024-05-23,6881.03,19.02
2024-05-24,6804.59,18.9
2024-05-27,6841.67,18.96
2024-05-28,6827.76,18.87
2024-05-29,6663.69,18.51
2024-05-30,6625.41,18.45
2024-05-31,6494.87,18.09
2024-06-03,6644.68,18.47
2024-06-04,6658.77,18.46
2024-06-05,6679.08,18.54
2024-06-06,6709.19,18.65
2024-06-07,6627.5,18.44
2024-06-10,6652.71,18.54
2024-06-11,6639.59,18.44
2024-06-12,6571.8,18.31
2024-06-13,6668.72,18.56
2024-06-14,6603.83,18.4
2024-06-17,6602.69,18.32
2024-06-18,6526.68,18.08
2024-06-19,6714.15,18.55
2024-06-20,6658.93,18.43
2024-06-21,6549.34,18.16
2024-06-24,6518.5,18.08
2024-06-25,6527.62,18.09
2024-06-26,6537.0,18.12
2024-06-27,6374.1,18.78
