序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
118,010912,国泰成长价值混合A,2026-07-31,1.6836,1.6836,2.76,-10.01,-25.31,42.42,44.93,115.32,157.51,142.11,59.19,68.36,113.6006,0.15%
119,002376,国寿安保核心产业混合,2026-07-31,1.626,2.027,0.49,1.06,-26.92,6.14,33.39,115.08,144.88,90.18,66.77,126.94,112.2715,0.15%
120,011452,华泰柏瑞质量成长C,2026-07-31,2.3396,2.3396,5.14,-12.35,-42.14,-15.43,19.87,114.64,208.98,142.95,33.94,27.41,117.9007,0.00%
121,022365,永赢科技智选混合发起C,2026-07-31,4.7079,4.7079,5.32,-7.94,-24.4,-1.03,20.87,114.63,,,25.47,370.79,121.2879,0.00%
122,012697,同泰数字经济股票C,2026-07-31,1.6847,1.6847,4.65,-7.58,-30.21,9.82,23.71,114.58,214.43,171.59,44.77,68.47,121.438,0.00%
123,010913,国泰成长价值混合C,2026-07-31,1.6389,1.6389,2.75,-10.02,-25.34,42.25,44.57,114.24,154.92,138.49,58.73,63.89,112.513,0.00%
124,009062,财通智慧成长混合A,2026-07-31,3.1928,3.1928,1.92,-2.13,-28.03,12.73,32.42,113.89,216.81,216.71,45.46,219.28,118.9999,0.15%
125,009242,中加核心智造混合A,2026-07-31,3.1164,3.1764,3.2,-7.46,-24.44,-2.54,31.83,113.6,188.8,143.16,42.47,226.96,117.8387,0.15%
126,001856,易方达环保主题混合A,2026-07-31,7.133,7.133,3.2,-2.95,-24.97,1.08,27.22,113.56,118.33,103.16,41.36,613.3,113.1799,0.15%
127,519773,交银数据产业灵活配置混合A,2026-07-31,3.7402,3.7402,3.15,-8.77,-31.22,15.83,33.75,113.48,146.03,93.6,55.98,274.02,113.958,0.15%
128,006887,诺德新生活混合A,2026-07-31,2.9727,2.9727,4.32,-6.03,-32.04,-2.07,25.03,112.88,231.44,141.19,29.53,197.27,116.7481,0.12%
129,008988,大成科技创新混合A,2026-07-31,4.2557,4.2557,3.06,-8.74,-38.41,1.72,32.16,112.88,272.0,238.05,41.37,325.57,120.1376,0.15%
130,002244,景顺长城低碳科技主题混合,2026-07-31,3.219,3.269,1.61,-5.21,-12.95,15.71,37.04,112.76,144.98,103.22,43.51,236.48,113.3201,0.15%
131,009243,中加核心智造混合C,2026-07-31,3.0387,3.0987,3.19,-7.47,-24.46,-2.63,31.57,112.73,186.62,140.33,42.14,218.97,116.9725,0.00%
132,006888,诺德新生活混合C,2026-07-31,2.9634,2.9634,4.32,-6.03,-32.05,-2.09,24.97,112.67,230.77,140.46,29.46,196.34,116.5278,0.00%
133,011377,创金合信积极成长股票A,2026-07-31,2.2708,2.2708,1.78,-11.43,-27.12,25.52,36.97,112.66,224.96,173.76,61.13,127.08,112.6815,0.15%
134,019032,易方达环保主题混合C,2026-07-31,7.038,7.038,3.18,-2.96,-25.01,0.95,26.9,112.44,116.15,,40.96,124.0,112.1157,0.00%
135,014549,交银数据产业灵活配置混合C,2026-07-31,3.6397,3.6397,3.15,-8.77,-31.26,15.66,33.36,112.25,143.05,90.12,55.46,47.86,112.7236,0.00%
