code,name,start,w2,w1,r4_24,r4_25
023451,中欧信息科技混合发起A,2025-02-26,,0.8683933617488311,,
020650,博时国证粮食产业ETF发起式联接A,2024-04-09,0.0731687250934594,-0.04665578730713238,,-0.0015136754757514304
020513,富国深证50ETF发起式联接A,2024-01-23,0.5133808626235445,0.26915462308474347,,-0.0034677822629387567
023919,国泰富时现金流ETF联接A,2025-04-29,,-0.001957757640561497,,
022930,易方达中证A500ETF联接Y,2024-12-16,,0.18560123636077996,,0.003216738257588725
019997,长信优势行业混合A,2024-03-13,0.5363282897917974,0.2792132890798271,,-0.04090803781961194
020476,泰康半导体量化选股股票发起式A,2024-05-07,1.845326209323145,0.9529335887068335,,-0.08149403999663196
022164,西部利得央企优选股票A,2024-12-10,,0.06310163244621347,,0.11271509331148111
021101,国泰北证50成份指数发起A,2024-11-19,,-0.23219677763114577,,0.024563141774564867
024441,汇添富均衡潜力优选混合A,2025-06-20,,0.007167406677568877,,
023038,汇安中证A500指数A,2025-01-24,,0.17413754715277352,,
019236,广发国证通信ETF发起式联接A,2023-10-26,1.3655849690368793,0.6666468398565091,0.0011976995383888855,0.036547772035355974
024705,嘉实中证港股通高股息投资ETF发起联接A,2025-07-15,,0.02290988898693347,,
019690,华商产业机遇混合A,2024-03-04,0.8099025409943541,0.33768454794876446,,-0.04054036237580694
019759,中欧半导体产业股票发起A,2023-11-21,1.5364240881021276,0.8101280513704601,-0.0216967656678988,-0.10091119207244637
022418,金鹰鑫瑞混合D,2024-10-25,,0.11712743705196282,,0.0016788903037685543
022728,中银上证科创板50ETF联接A,2024-12-25,,0.519272062587766,,
023884,华夏中证金融科技主题ETF发起式联接A,2025-06-10,,-0.22474087057958114,,
021749,易方达创业板成长ETF联接发起式A,2024-12-24,,0.5739544722880885,,
023444,前海开源中证500等权ETF联接A,2025-07-07,,0.15178741990326072,,
023609,光大中证A500指数A,2025-07-29,,0.09268305583137137,,
021875,路博迈资源精选股票发起A,2024-09-19,,0.842315501863977,,0.023900562026606398
018975,中信建投消费升级混合发起式A,2023-09-26,-0.28186798677187697,-0.20167306438567234,-0.03230504011539448,0.04391507043012988
022320,汇添富弘瑞回报混合发起式A,2025-01-24,,0.25824869612365986,,
022983,华夏沪深300ETF联接Y,2024-12-16,,0.14495290862210286,,0.015670419336471175
021614,华泰紫金中证全指软件指数型发起A,2024-06-27,0.2847609892450451,-0.18084183801210574,,-0.13604653653098542
021757,中欧沪深300指数量化增强A,2024-11-29,,0.18998400608618904,,0.01928123456111952
023975,兴银中证全指公用事业指数发起A,2025-06-04,,0.05784952635790641,,
022038,兴银数字经济智选混合发起A,2024-09-05,,0.43915481481535945,,-0.11832462453205972
