code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
001076,易方达改革红利混合,混合型-偏股,右侧,21.3,Sell/Avoid 红灯,0.0,0.7634,False,False,0,61.0,0.742,1.027,0.0,0.3006,0.4352,0.32461538461538464,0.38153846153846155,28.71,5056,False,,0.839,标准,2026-07-31,
002707,大摩科技领先混合A,混合型-灵活,右侧,21.3,Sell/Avoid 红灯,0.0,0.7641,False,False,0,45.0,0.645,1.201,41.2,0.384,0.7499,0.38461538461538464,0.703076923076923,2.17,2661,False,回撤比值1.56(平滑18%)(-18%),0.839,标准,2026-07-31,
000522,华润元大信息传媒科技混合A,混合型-偏股,右侧,21.2,Sell/Avoid 红灯,0.0,0.7632,False,False,0,49.1,0.742,1.274,19.5,0.4567,0.4523,0.47384615384615386,0.3953846153846154,3.07,3756,False,回撤比值1.28(平滑4%)(-4%),0.839,标准,2026-07-31,
010622,恒越成长精选混合A,混合型-偏股,右侧,21.1,Sell/Avoid 红灯,0.0,0.7666,False,False,0,8.0,0.419,1.213,100.0,0.5615,0.9309,0.6015384615384616,0.8692307692307693,6.44,2013,False,回撤比值1.68(平滑24%)(-24%),0.839,标准,2026-07-31,
018993,中欧数字经济混合发起A,混合型-偏股,新星,21.1,Sell/Avoid 红灯,0.0,0.7586,False,False,0,67.6,0.769,0.987,35.8,0.5053,0.4775,0.5430769230769231,0.42153846153846153,66.71,1754,False,回撤比值1.91(平滑35%)(-35%),0.839,标准,2026-07-31,
019829,华夏数字产业混合A,混合型-偏股,新星,21.1,Sell/Avoid 红灯,0.0,0.7616,False,False,0,57.8,0.714,1.047,100.0,0.8519,0.9689,0.92,0.8923076923076924,22.4,502,False,经理任期1年(归因平滑16%)(-16%); 回撤比值2.09(平滑44%)(-44%),0.839,标准,2026-07-31,
005310,广发电子信息传媒股票A,股票型,右侧,21.0,Sell/Avoid 红灯,0.0,0.7685,False,False,0,5.2,0.387,1.224,100.0,0.6187,0.773,0.6892307692307692,0.7246153846153847,9.84,2186,False,回撤比值1.63(平滑22%)(-22%),0.839,标准,2026-07-31,
018244,嘉实产业精选混合A,混合型-偏股,新星,21.0,Sell/Avoid 红灯,0.0,0.7622,False,False,0,49.6,0.765,1.258,85.1,0.5995,0.7109,0.6492307692307693,0.6569230769230769,0.78,2099,False,回撤比值2.11(平滑46%)(-46%),0.839,标准,2026-07-31,
019767,景顺长城科创50指数增强A,指数型-股票,新星,20.9,Sell/Avoid 红灯,0.0,0.7658,False,False,0,46.5,0.684,1.408,31.5,0.464,0.5395,0.4846153846153846,0.4753846153846154,3.08,4661,True,回撤比值1.47(平滑13%)(-13%),0.839,标准,2026-07-31,
018128,博时北证50成份指数发起式A,指数型-股票,左侧,20.9,Sell/Avoid 红灯,0.0,0.7736,False,False,0,68.2,0.516,0.778,0.0,-0.0584,-0.0932,0.14461538461538462,0.12461538461538461,2.51,1472,True,回撤比值1.45(平滑13%)(-13%),0.839,标准,2026-07-31,
001900,诺安精选价值混合A,混合型-偏股,左侧,20.9,Sell/Avoid 红灯,37.5,0.623,True,False,0,30.9,0.516,1.058,0.0,0.0936,-0.0189,0.23846153846153847,0.18,1.87,1321,False,回撤比值1.58(平滑19%)(-19%),0.839,标准,2026-07-31,
023765,华夏中证5G通信主题ETF联接D,指数型-股票,新星,20.8,Sell/Avoid 红灯,0.0,0.7608,False,False,0,50.3,1.0,1.304,62.9,0.5665,0.6104,0.6046153846153847,0.5461538461538461,5.73,3157,True,回撤比值1.95(平滑38%)(-38%),0.839,标准,2026-07-31,
001072,华安智能装备主题股票A,股票型,右侧,20.7,Sell/Avoid 红灯,0.0,0.7666,False,False,0,49.7,0.774,1.272,13.4,0.3432,0.5798,0.36,0.5169230769230769,27.2,2398,False,,0.839,标准,2026-07-31,
017515,易方达北证50成份指数A,指数型-股票,左侧,20.7,Sell/Avoid 红灯,0.0,0.7736,False,False,0,68.0,0.516,0.782,0.0,-0.0621,-0.0968,0.13692307692307693,0.12,2.98,2234,True,回撤比值1.46(平滑13%)(-13%),0.839,标准,2026-07-31,
006887,诺德新生活混合A,混合型-偏股,右侧,20.6,Sell/Avoid 红灯,0.0,0.764,False,False,0,47.1,0.677,1.221,100.0,0.6616,0.7224,0.7476923076923077,0.6692307692307692,15.5,1480,False,回撤比值2.21(平滑50%)(-50%),0.839,标准,2026-07-31,
018611,鹏华高端装备一年持有期混合A,混合型-偏股,右侧,20.6,Sell/Avoid 红灯,0.0,0.7654,False,False,0,60.6,0.714,1.024,40.1,0.4381,0.6456,0.4553846153846154,0.5876923076923077,1.09,4166,False,回撤比值1.88(平滑34%)(-34%),0.839,标准,2026-07-31,
019236,广发国证通信ETF发起式联接A,指数型-股票,新星,20.5,Sell/Avoid 红灯,0.0,0.7619,False,False,0,78.4,0.654,0.897,0.2,0.362,0.4424,0.37538461538461537,0.38846153846153847,2.05,998,True,回撤比值1.71(平滑26%)(-26%),0.839,标准,2026-07-31,
009644,东方阿尔法优势产业混合A,混合型-偏股,右侧,20.5,Sell/Avoid 红灯,0.0,0.7624,False,False,0,33.5,0.548,1.108,55.6,0.5711,0.5473,0.6107692307692307,0.47846153846153844,17.25,2883,False,回撤比值1.60(平滑20%)(-20%),0.839,标准,2026-07-31,
011673,长城医药科技六个月持有混合A,混合型-偏股,左侧,20.4,Sell/Avoid 红灯,34.8,0.6505,False,False,0,30.3,0.387,0.944,0.0,-0.0041,-0.0559,0.16923076923076924,0.1476923076923077,2.68,3833,False,回撤比值1.54(平滑17%)(-17%),0.839,标准,2026-07-31,
019071,嘉实国证通信ETF发起联接A,指数型-股票,新星,20.4,Sell/Avoid 红灯,0.0,0.762,False,False,0,77.5,0.75,0.929,0.0,0.3546,0.4424,0.3676923076923077,0.38846153846153847,2.88,4029,True,回撤比值1.70(平滑25%)(-25%),0.839,标准,2026-07-31,
011876,景顺长城医疗健康混合A,混合型-偏股,左侧,20.3,Sell/Avoid 红灯,36.9,0.6295,True,False,0,33.7,0.355,0.915,0.0,0.0104,-0.0621,0.18076923076923077,0.13846153846153847,2.18,3838,False,回撤比值1.67(平滑24%)(-24%),0.839,标准,2026-07-31,
023451,中欧信息科技混合发起A,混合型-偏股,新星,20.3,Sell/Avoid 红灯,0.0,0.7634,False,False,0,51.9,1.0,1.176,100.0,0.7306,0.7669,0.8215384615384616,0.7184615384615385,80.14,523,False,经理任期1年(归因平滑16%)(-16%); 回撤比值2.09(平滑44%)(-44%),0.839,标准,2026-07-31,
024592,圆信永丰科技驱动混合发起A,混合型-偏股,新星,20.3,Sell/Avoid 红灯,0.0,0.7617,False,False,0,50.3,1.0,1.31,100.0,0.8516,0.8639,0.9184615384615384,0.8153846153846154,0.61,852,False,经理任期2年(归因平滑7%)(-7%); 回撤比值2.18(平滑49%)(-49%),0.839,标准,2026-07-31,
519766,交银荣鑫灵活配置混合A,混合型-灵活,右侧,20.3,Sell/Avoid 红灯,0.0,0.7637,False,False,0,72.1,0.516,0.272,0.0,0.2717,0.1872,0.30923076923076925,0.26153846153846155,2.49,379,False,经理任期1年(归因平滑20%)(-20%),0.839,标准,2026-07-31,
016243,广发成长领航一年持有混合A,混合型-偏股,右侧,20.3,Sell/Avoid 红灯,0.0,0.7622,False,False,0,70.6,0.516,0.709,0.0,0.2009,0.3476,0.28,0.32153846153846155,17.35,3153,False,回撤比值1.56(平滑18%)(-18%),0.839,标准,2026-07-31,
024433,嘉实成长共赢混合A,混合型-偏股,新星,20.2,Sell/Avoid 红灯,0.0,0.7609,False,False,0,50.0,1.0,1.506,86.0,0.524,0.8334,0.5661538461538461,0.7884615384615384,23.12,2099,False,回撤比值2.16(平滑48%)(-48%),0.839,标准,2026-07-31,
007873,华宝科技ETF联接A,指数型-股票,右侧,20.1,Sell/Avoid 红灯,0.0,0.7607,False,False,0,29.4,0.548,1.263,39.4,0.5113,0.5054,0.5461538461538461,0.4461538461538462,4.58,561,True,,0.839,标准,2026-07-31,
