date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2025-06-30,040011,0.0,0.7005,0.4,0.35,0.25,0.7125,0.964,True,0.02084,0.065,1.461,-0.0165,-0.0868,1.326,1.0,0.0,0.0,0.0,0.3194,0.5781
2025-06-30,519110,0.0,0.7005,0.4,0.35,0.25,0.7132,0.976,True,0.02564,0.129,2.09,-0.0776,-0.0425,1.455,1.0,0.0,0.0,0.0,0.3599,0.5054
2025-06-30,519068,0.0,0.7005,0.4,0.35,0.25,0.7077,0.981,True,0.0075,0.161,1.534,-0.0344,-0.077,1.266,1.0,0.0,0.0,0.0,0.2775,0.524
2025-06-30,080012,0.0,0.7005,0.4,0.35,0.25,0.712,0.944,True,0.0466,0.226,1.367,-0.0208,0.002,1.409,1.0,0.0,0.0,0.0,0.0753,0.0635
2025-06-30,162202,0.0,0.7005,0.4,0.35,0.25,0.7113,1.0,True,0.00996,0.29,1.719,-0.0331,-0.0552,1.064,1.0,0.0,0.0,0.0,0.351,0.2601
2025-06-30,240009,0.0,0.7005,0.4,0.35,0.25,0.7097,0.984,True,0.02222,0.097,1.852,-0.0378,-0.0895,1.251,1.0,0.0,0.0,0.0,0.0782,0.4213
2025-06-30,002031,0.0,0.7005,0.4,0.35,0.25,0.713,0.944,True,0.00093,0.226,1.215,-0.0528,-0.0439,1.02,1.0,0.0,0.0,0.0,0.1721,0.4623
2025-06-30,161604,0.0,0.7005,0.4,0.35,0.25,0.7077,0.985,True,0.01959,0.129,2.352,-0.0216,-0.0729,1.068,1.0,0.0,0.0,0.0,0.2722,0.4255
2025-06-30,630006,0.0,0.7005,0.4,0.35,0.25,0.712,0.962,True,0.04804,0.065,1.552,-0.0986,-0.0993,1.312,1.0,0.0,0.0,0.0,0.4907,0.8461
2025-06-30,162714,0.0,0.7005,0.4,0.35,0.25,0.7076,0.986,True,0.01936,0.129,1.608,-0.0192,-0.0652,1.092,1.0,0.0,0.0,0.0,0.2739,0.4154
2025-06-30,110026,0.0,0.7005,0.4,0.35,0.25,0.708,0.982,True,0.04409,0.226,1.686,-0.0259,-0.1087,1.263,1.0,0.0,0.0,0.0,0.4652,0.7607
2025-06-30,110019,0.0,0.7005,0.4,0.35,0.25,0.7076,0.986,True,0.01984,0.129,1.87,-0.0198,-0.0678,1.046,1.0,0.0,0.0,0.0,0.2772,0.4297
2025-06-30,161025,0.0,0.7005,0.4,0.35,0.25,0.7133,0.961,True,0.04672,0.484,1.587,-0.0446,-0.0727,1.106,1.0,0.0,0.0,0.0,0.3542,0.6757
2025-06-30,740101,0.0,0.7005,0.4,0.35,0.25,0.7046,0.978,True,0.01275,0.161,1.412,-0.0034,-0.0551,0.957,1.0,0.0,0.0,0.0,0.1887,0.2871
2025-06-30,379010,0.0,0.7005,0.4,0.35,0.25,0.7196,0.959,True,0.01949,0.161,2.002,-0.0426,-0.0072,1.61,1.0,0.0,0.0,0.0,0.4336,0.7459
2025-06-30,350002,0.0,0.7005,0.4,0.35,0.25,0.7131,0.973,True,0.02676,0.419,1.679,-0.052,-0.1789,1.29,1.0,0.0,0.0,0.0,0.0252,-0.0855
2025-06-30,580002,0.0,0.7005,0.4,0.35,0.25,0.7169,0.967,True,0.02063,0.226,1.932,-0.1908,-0.1606,1.637,1.0,0.0,0.0,0.0,0.1367,1.3289
