code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
020893,020893,020893,景顺长城国证机器人产业ETF联接-A,指数型-股票,存续,2024-03-22,,,2024-03-22,tushare_fund_basic,020893.OF,2024-03-31
020903,020903,020903,广发中证工程机械主题ETF联接-A,指数型-股票,存续,2024-03-25,,,2024-03-25,tushare_fund_basic,020903.OF,2024-03-31
020964,020964,020964,安信企业价值优选混合-C,混合型-灵活,存续,2024-03-07,,,2024-03-07,tushare_fund_basic,020964.OF,2024-03-31
020970,020970,020970,益民品质升级灵活配置混合-C,混合型-灵活,存续,2024-03-11,,,2024-03-11,tushare_fund_basic,020970.OF,2024-03-31
020981,020981,020981,华安国证机器人产业ETF联接-A,指数型-股票,存续,2024-03-26,,,2024-03-26,tushare_fund_basic,020981.OF,2024-03-31
021000,021000,021000,南方纳斯达克100指数(QDII)-I,指数型-海外股票,存续,2024-03-19,,,2024-03-19,tushare_fund_basic,021000.OF,2024-03-31
021005,021005,021005,南方富时中国国企开放共赢ETF联接-I,指数型-股票,存续,2024-03-19,,,2024-03-19,tushare_fund_basic,021005.OF,2024-03-31
021013,021013,021013,南方中证银行ETF联接-I,指数型-股票,存续,2024-03-19,,,2024-03-19,tushare_fund_basic,021013.OF,2024-03-31
021021,021021,021021,南方中证申万有色金属ETF联接-I,指数型-股票,存续,2024-03-27,,,2024-03-27,tushare_fund_basic,021021.OF,2024-03-31
021022,021022,021022,南方沪深300ETF联接-I,指数型-股票,存续,2024-03-19,,,2024-03-19,tushare_fund_basic,021022.OF,2024-03-31
021023,021023,021023,南方恒生ETF联接(QDII-LOF)-I,指数型-海外股票,存续,2024-03-27,,,2024-03-27,tushare_fund_basic,021023.OF,2024-03-31
021029,021029,021029,南方中证全指证券公司ETF联接-I,指数型-股票,存续,2024-03-27,,,2024-03-27,tushare_fund_basic,021029.OF,2024-03-31
021032,021032,021032,南方创业板ETF联接-I,指数型-股票,存续,2024-03-27,,,2024-03-27,tushare_fund_basic,021032.OF,2024-03-31
159150,159150,159150,易方达深证50ETF,指数型-股票,存续,2023-11-29,,,2023-11-29,tushare_fund_basic,159150.SZ,2024-03-31
159350,159350,159350,富国深证50ETF,指数型-股票,存续,2023-11-30,,,2023-11-30,tushare_fund_basic,159350.SZ,2024-03-31
159501,159501,159501,嘉实纳斯达克100ETF(QDII),指数型-海外股票,存续,2023-05-31,,,2023-05-31,tushare_fund_basic,159501.SZ,2024-03-31
159502,159502,159502,嘉实标普生物科技精选行业ETF(QDII),指数型-海外股票,存续,2023-12-26,,,2023-12-26,tushare_fund_basic,159502.SZ,2024-03-31
159503,159503,159503,鹏扬国证财富管理ETF,指数型-股票,清盘,2023-06-29,2024-07-19,2024-07-19,2023-06-29,tushare_fund_basic,159503.SZ,2024-03-31
159505,159505,159505,博时国证2000ETF,指数型-股票,存续,2023-11-23,,,2023-11-23,tushare_fund_basic,159505.SZ,2024-03-31
159506,159506,159506,富国恒生港股通创新药及医疗保健ETF,指数型-海外股票,存续,2023-06-14,,,2023-06-14,tushare_fund_basic,159506.SZ,2024-03-31
159507,159507,159507,广发国证通信ETF,指数型-股票,存续,2023-06-08,,,2023-06-08,tushare_fund_basic,159507.SZ,2024-03-31
159508,159508,159508,华安国证生物医药ETF,指数型-股票,存续,2023-06-29,,,2023-06-29,tushare_fund_basic,159508.SZ,2024-03-31
